Y,Loan,Tuition,Enroll,Dropout,Income,CPI,UnEmp,Stock
1970,7014.68,9625,6996129,5.7,8689,39.0,5.0,83.45
1971,8485.68,9729,7148575,6.6,8965,40.7,6.0,98.21
1972,8251.56,9914,7253712,7.1,9624,41.9,5.6,109.78
1973,7867.97,9443,7453467,7.1,10471,44.3,4.9,106.51
1974,7732.93,8858,7805454,6.4,11147,49.4,5.6,81.48
1975,6957.83,8774,8479688,6.3,11724,54.2,8.5,87.13
1976,7225.35,8968,8312502,6.4,12691,57.1,7.7,102.79
1977,8340.09,8905,8415339,6.5,13579,61.0,7.1,97.48
1978,9788.34,8736,8348482,6.5,14943,65.7,6.1,95.46
1979,13198.69,8371,8487317,6.6,16428,73.1,5.9,103.33
1980,17474.69,8283,8819013,6.1,17701,82.7,7.2,119.58
1981,17872.88,8578,9014521,5.4,18991,91.6,7.6,127.84
1982,15974.26,9138,9091648,5.2,20064,97.5,9.7,120.28
1983,17750.78,9472,9166398,5.3,20986,99.9,9.6,160.72
1984,19157.17,9980,8951695,5.1,22438,104.1,7.5,160.32
1985,19092.06,10385,8943433,4.9,23615,107.8,7.2,188.97
1986,19294.11,10827,8895705,5.1,24855,109.5,7.0,238.92
1987,22713.64,10973,9072473,5.1,26055,113.8,6.2,285.99
1988,23042.78,11203,9301061,4.5,27291,118.5,5.5,268.05
1989,22319.28,11310,9546413,4.7,28925,124.4,5.3,326.31
1990,22025.61,11336,9807400,4.6,29781,130.4,5.6,332.68
1991,23101.36,11847,10173256,3.6,30148,136.2,6.9,381.53
1992,23830.83,12097,10259869,3.8,30631,140.5,7.5,417.12
1993,31292.97,12549,10174765,3.8,31272,144.4,6.9,453.45
1994,36745.51,12775,10173999,4.1,32385,148.4,6.1,460.66
1995,40136.01,13178,10159983,4.8,34106,152.5,5.6,546.88
1996,42829.22,13403,10324466,3.6,35486,157.0,5.4,674.85
1997,44025.37,13714,10459479,3.8,37177,160.5,4.9,875.86
1998,44876.81,14167,10556893,4.0,38967,163.2,4.5,1087.86
1999,46040.12,14254,10818667,4.3,40750,166.7,4.2,1330.58
2000,46559.56,14296,11110474,3.8,42233,172.8,4.0,1419.73
2001,49418.45,14775,11607663,3.3,42629,177.5,4.7,1185.75
2002,55741.48,15262,12168161,3.2,42802,180.1,5.8,988.59
2003,63047.99,16104,12521262,3.5,43588,183.9,6.0,967.93
2004,67619.92,16647,12830766,2.8,44411,189.4,5.5,1133.96
2005,69317.17,17014,13027167,3.0,46301,195.4,5.1,1207.77
2006,70437.68,17547,13224503,2.9,48223,203.5,4.6,1318.31
2007,77121.04,17737,13595962,2.7,49968,208.3,4.6,1478.10
2008,91911.63,18421,14199392,3.0,50132,220.0,5.8,1215.22
2009,108738.75,18839,15291112,2.2,49534,215.4,9.3,948.52
2010,113833.00,19355,15726881,2.3,49167,218.0,9.6,1130.68
2011,110983.23,19741,15665677,2.4,49842,225.9,8.9,1280.76
2012,105060.08,20234,15372284,3.7,51179,229.1,8.1,1386.51
2013,95914.41,20756,15059875,4.1,53032,233.6,7.4,1652.29
